40
0.4	1673	6009	11489	-4616
0.596	2753	6004	12914	-3669
0.791	3261	5326	12677	-2592
0.987	3803	4977	13271	-1785
1.182	4292	4776	14130	-1130
1.378	4692	4631	14961	-589
1.573	5013	4523	15708	-138
1.769	5264	4442	16359	242
1.964	5450	4382	16909	564
2.16	5579	4338	17361	836
2.265	5626	4320	17565	966
2.371	5659	4306	17742	1084
2.476	5678	4294	17893	1193
2.582	5685	4284	18019	1293
2.687	5679	4277	18122	1384
2.792	5662	4272	18202	1468
2.898	5634	4269	18260	1544
3.003	5597	4268	18298	1613
3.109	5550	4269	18316	1677
3.214	5495	4271	18315	1734
3.319	5432	4274	18298	1786
3.425	5362	4278	18264	1833
3.53	5285	4284	18214	1876
3.636	5203	4291	18150	1914
3.741	5116	4299	18073	1948
3.846	5024	4308	17984	1978
3.952	4929	4318	17883	2005
4.057	4831	4328	17772	2029
4.163	4730	4339	17652	2049
4.268	4627	4351	17523	2067
4.373	4523	4363	17386	2083
4.479	4418	4375	17243	2096
4.584	4313	4388	17093	2107
4.69	4208	4401	16938	2115
4.795	4103	4415	16779	2122
4.9	4000	4428	16616	2127
5.006	3897	4441	16450	2131
5.111	3796	4455	16281	2133
5.217	3697	4468	16111	2134
5.322	3599	4481	15939	2134
